Year,Animal,Vegetal,Sum,Animal Trade Correction,Animal Transport Correction,Vegetal Trade Correction,Vegetal Transport Correction,Animal Corrected,Vegetal Corrected,Sum Corrected,Country
2006,9773.18866,4054.780233333333,13827.968893333333,-14.233497684153704,0.3817373358318974,-0.4803351308315943,7.215779457440895,9759.336899651678,4061.5156776599424,13820.85257731162,Ireland
2007,9602.646380000002,3978.3594200000002,13581.005800000003,0.14969816987285234,0.7275749231929727,6.184376949851167,11.246048259255744,9603.523653093067,3995.7898452091067,13599.313498302174,Ireland
2008,9530.345786666667,3982.64838,13512.994166666667,-3.074679388533351,0.32392400833930995,3.655014572863164,11.791028298484962,9527.595031286472,3998.0944228713483,13525.68945415782,Ireland
2009,9464.890806666666,4197.428320000001,13662.319126666667,0.23225975409542468,0.7907949434597135,4.461855833802758,5.630898649451526,9465.91386136422,4207.521074483255,13673.434935847476,Ireland
2010,9147.316180000002,3950.334193333333,13097.650373333334,-23.433237179093837,0.24916263738670408,-5.6309755630174365,7.143350550533223,9124.132105458295,3951.846568320849,13075.978673779144,Ireland
2011,9098.22634,3892.70242,12990.928759999999,-28.062751534126246,0.32422321469816984,-15.555949310571949,13.08681853739747,9070.487811680572,3890.2332892268255,12960.721100907398,Ireland
2012,9463.521446666668,4158.444433333334,13621.965880000002,-24.972190637608268,0.21358079853372788,-13.198428939269208,13.93268034986836,9438.762836827593,4159.1786847439325,13597.941521571525,Ireland
2013,9608.482066666667,4097.192746666667,13705.674813333335,-28.63800158558678,0.15168327989006966,24.261994923014377,35.70367893041123,9579.99574836097,4157.1584205200925,13737.154168881063,Ireland
2014,9716.737226666668,4031.6676866666667,13748.404913333336,-33.94149459168551,0.21446032592391423,19.833658411280027,38.288559300198095,9683.010192400907,4089.7899043781445,13772.80009677905,Ireland
2015,9838.411759999999,4091.4927133333335,13929.904473333332,-27.46242380478326,0.31767334678267667,25.763552702838457,41.156767043416494,9811.267009541998,4158.413033079589,13969.680042621587,Ireland
2016,10233.271113333332,4039.5699799999993,14272.841093333333,-36.497717086324194,0.22840740872245358,19.0675089458629,26.174512146986512,10197.00180365573,4084.8120010928487,14281.813804748579,Ireland
2017,10417.4289,4244.702186666666,14662.131086666668,-41.06882847900732,0.29581756384388197,31.789863284775173,44.8648467465404,10376.655889084837,4321.356896697982,14698.01278578282,Ireland
2000,13517.004239999998,8209.560626666667,21726.564866666668,37.17453825768718,1.8052215543764785,79.33620911476517,66.05060387922775,13555.98399981206,8354.94743966066,21910.93143947272,Italy
2001,11594.279633333334,7767.003126666667,19361.282760000002,40.4084794193351,2.1323678345266988,76.52160448590209,58.7744660505334,11636.820480587196,7902.299197203102,19539.1196777903,Italy
2002,12519.127866666666,8220.289740000002,20739.41760666667,41.57274025570568,2.297355175554519,188.22474726533363,78.5009706699466,12562.997962097927,8487.015457935284,21050.01342003321,Italy
2003,12076.645373333335,8053.1219133333325,20129.76728666667,39.07342029517482,2.062652815240882,93.33487825479268,76.54708016419852,12117.78144644375,8223.003871752324,20340.785318196075,Italy
2004,12071.592906666667,8434.63236,20506.225266666668,58.71149505943903,2.678631754978024,82.53301705132856,80.81970184438052,12132.983033481083,8597.985078895708,20730.96811237679,Italy
2005,11743.35828,7996.490000000002,19739.848280000002,76.93332906797917,3.8226782329949183,114.61932481956978,78.06406033653586,11824.114287300974,8189.173385156107,20013.28767245708,Italy
2006,11709.6709,7936.613026666667,19646.283926666667,80.32256542672866,4.086127257527949,113.57403294205874,79.25506538853804,11794.079592684255,8129.442124997264,19923.52171768152,Italy
2007,11635.729686666667,8041.022640000001,19676.75232666667,81.95354004386809,4.614018236573275,109.66391175989122,90.43712676181745,11722.297244947107,8241.12367852171,19963.420923468817,Italy
2008,11915.329199999998,7491.114593333333,19406.443793333332,53.48712692639942,4.003305788608499,87.00178699395791,68.13598439521077,11972.819632715005,7646.252364722501,19619.071997437506,Italy
2009,11835.103906666667,6754.302226666666,18589.406133333334,74.60994905089045,4.905971459223305,113.10939525639924,87.39151829002863,11914.61982717678,6954.803140213094,18869.422967389874,Italy
2010,11833.55035333333,6795.475493333333,18629.025846666664,72.48182143873389,4.350698119890595,127.39064947542128,155.0663617815358,11910.382872891954,7077.932504590291,18988.315377482246,Italy
2011,11392.005866666666,6861.870446666668,18253.876313333334,70.24858713705464,4.661260402435516,113.18682547477576,103.90048502517824,11466.915714206158,7078.957757166622,18545.87347137278,Italy
2012,11565.83392,7107.559166666666,18673.393086666663,75.1202516347373,5.1359105794615365,112.20849750610246,75.77348260612905,11646.090082214198,7295.541146778897,18941.631228993094,Italy
2013,11398.757466666666,6967.324119999999,18366.081586666667,70.34202468499018,5.107592337671379,143.30604670508527,97.56502703505318,11474.207083689329,7208.195193740138,18682.402277429468,Italy
2014,11236.037213333335,6901.0802533333335,18137.11746666667,66.5503548130349,5.412508919500514,168.95756337665517,101.52701958529552,11308.00007706587,7171.564836295284,18479.564913361155,Italy
2015,11251.91452666667,7048.499579999999,18300.414106666667,98.33856309482191,6.247477832479796,148.38572607274108,86.87148211019918,11356.50056759397,7283.756788182939,18640.25735577691,Italy
2016,11437.187600000001,7137.83146,18575.019060000002,111.69109081250096,5.989309398312683,119.67684411911972,89.21140329092046,11554.868000210814,7346.71970741004,18901.587707620856,Italy
2017,11429.182046666667,7069.380026666667,18498.562073333334,101.91372888103453,5.643397083001782,115.81645811053785,94.57494774493895,11536.739172630703,7279.771432522143,18816.510605152846,Italy
2000,677.9744666666667,762.3293866666667,1440.3038533333333,3.2539882330688292,0.5065938109904986,5.281017719588416,0.9204341921469384,681.735048710726,768.5308385784019,1450.265887289128,Latvia
2001,664.3984066666667,814.3221133333333,1478.7205199999999,3.7064771865223607,0.41458666540484257,-1.5903734287857856,0.4473763357515748,668.5194705185938,813.179116240299,1481.6985867588928,Latvia
2002,691.9005533333333,805.7879733333333,1497.6885266666666,7.412653081478866,0.9150499959226527,-0.386735272253852,0.43397488063091144,700.2282564107348,805.8352129417103,1506.0634693524453,Latvia
2003,693.4035066666665,755.6446266666667,1449.0481333333332,7.756460826977573,0.9443661982962274,-15.855418993266836,0.43817893541313235,702.1043336919404,740.2273866088129,1442.3317203007532,Latvia
2004,662.3889800000001,826.5099133333333,1488.8988933333335,0.12028174760002014,0.23179663761695807,34.47219980278795,0.8042377094072923,662.7410583852171,861.7863508455285,1524.5274092307457,Latvia
2005,653.4968066666667,845.5634933333332,1499.0602999999999,-0.9257516207957667,0.09506766952327118,33.4856125363454,3.233130770188579,652.6661227153942,882.2822366398673,1534.9483593552613,Latvia
2006,666.672,852.6419466666667,1519.3139466666667,-2.625583353634946,0.1482943278971894,25.274666379735955,2.2423147321675008,664.1947109742622,880.1589277785703,1544.3536387528325,Latvia
